,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
Agent24,0.6551814953,0.3101096667400012,1.1898931148588234,2337.3823529411766,34,32,2,0
Agent26,0.6530033334617646,0.297205694614608,1.0738732336117645,2027.1470588235295,34,28,6,0
Agent3,0.634626555585294,0.357697016367483,1.2490644563735296,4466.14705882353,34,32,2,0
BoulwareAgent,0.608224094847059,0.3330984214979648,1.245821676752941,3821.735294117647,34,33,1,0
Agent2,0.6063503908911766,0.2780553579026981,1.0521716861882355,2959.470588235294,34,28,6,0
Agent14,0.5940483323088236,0.34305538748186704,1.271099729261765,1797.3235294117646,34,33,1,0
Agent11,0.5896415791117647,0.26328668788058596,0.9484286906911765,3556.735294117647,34,25,9,0
Agent19,0.5697266703941176,0.18188718937555357,0.7577661621441177,193.2058823529412,34,20,14,0
Agent18,0.5593713327029411,0.33529663254458386,1.1799762207764704,1353.2058823529412,34,31,3,0
HardlinerAgent,0.5511910066735295,0.13990168993353516,0.6932439668794119,5959.5,34,19,15,0
Agent22,0.5078750046441176,0.3176928027627021,1.2391254660029412,482.2647058823529,34,34,0,0
LinearAgent,0.5004316230176471,0.3425037738339856,1.280668556697059,716.9117647058823,34,34,0,0
TemplateAgent,0.48987053021470583,0.19554508690764524,0.7228147714617649,98.73529411764706,34,19,15,0
Agent25,0.48290879631764705,0.14880680519698852,0.6375302309529413,4322.794117647059,34,17,17,0
ConcederAgent,0.45966499930294136,0.3509726999505949,1.2888013774000002,210.35294117647058,34,34,0,0
RandomAgent,0.38821974839705886,0.22460874319967972,0.8975252595411765,4081.3529411764707,34,26,8,0
Agent7,0.32339681820588234,0.2150585476754689,0.9412981161882352,2240.294117647059,34,27,7,0
StupidAgent,0.22654047341176473,0.21803726784871066,1.1314428537941177,2.3823529411764706,34,32,2,0
