,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
Agent26,0.7365778658382354,0.3259877440238241,1.1654884239235292,4260.176470588235,34,30,4,0
Agent2,0.7355685876382352,0.3759974889922596,1.3274088357205882,3410.4411764705883,34,34,0,0
Agent24,0.7245689514088236,0.34379383333547003,1.2775455383441179,2914.4411764705883,34,34,0,0
Agent11,0.6493132125617647,0.33483364872422877,1.1032442041999997,4226.323529411765,34,28,6,0
BoulwareAgent,0.6408618293147059,0.34087499842109903,1.2466948661705881,5175.5,34,33,1,0
HardlinerAgent,0.6373282115558825,0.1681483574476829,0.8083491103852943,7049.882352941177,34,22,12,0
Agent3,0.62377147655,0.3488331164356419,1.2625209767617647,5103.735294117647,34,33,1,0
Agent14,0.596770979264706,0.35430827722978936,1.2998125845882356,2062.0588235294117,34,34,0,0
Agent18,0.587857572667647,0.3414216608867402,1.2107106168411763,1521.3529411764705,34,32,2,0
LinearAgent,0.5444190990882352,0.3621279939251015,1.2943443402205883,1843.4117647058824,34,34,0,0
TemplateAgent,0.5442164993999998,0.3090060910904069,1.036450895032353,770.3823529411765,34,27,7,0
Agent19,0.54255674945,0.17299672804224284,0.721099208432353,218.61764705882354,34,19,15,0
Agent25,0.5374693161823529,0.16739427909330226,0.7120385036852942,5345.382352941177,34,19,15,0
Agent22,0.5147392602117646,0.3326108126480862,1.2702508378088235,652.5882352941177,34,34,0,0
ConcederAgent,0.4915051761970588,0.3675462304862989,1.3190339554941175,789.4411764705883,34,34,0,0
RandomAgent,0.40422776930588233,0.2557520017511584,0.9847070051735294,5181.264705882353,34,28,6,0
Agent7,0.3522799977058823,0.24856497583257,1.0454862421823532,2002.4411764705883,34,29,5,0
StupidAgent,0.25144033280588235,0.22726336593536997,1.145759629329412,2.3823529411764706,34,32,2,0
